datetime,role_1_x,role_1_y,role_2_x,role_2_y,role_3_x,role_3_y,role_4_x,role_4_y,role_5_x,role_5_y,role_6_x,role_6_y,role_7_x,role_7_y,role_8_x,role_8_y,role_9_x,role_9_y,role_10_x,role_10_y
2020-01-01 19:09:10,-1133.0,-1528.1,-646.0,-42.09999999999991,1935.0,854.9000000000001,623.0,-311.0999999999999,643.0,-209.0999999999999,66.0,252.9000000000001,-1262.0,237.9000000000001,-851.0,1639.9,292.0,1130.9,333.0,-2026.1
2020-01-01 19:09:11,-1105.0,-1517.4,-726.0,-24.40000000000009,1965.0,670.5999999999999,534.0,-382.4000000000001,750.0,-165.4000000000001,-140.0,206.5999999999999,-1403.0,212.5999999999999,-822.0,1622.6,470.0,1147.6,477.0,-1770.4
2020-01-01 19:09:12,-1123.8000000000002,-1607.6999999999998,-982.8000000000002,-166.69999999999982,2059.2,430.3000000000002,344.1999999999998,-441.6999999999998,970.1999999999998,-98.69999999999982,-231.80000000000018,181.30000000000018,-1522.8000000000002,208.30000000000018,-814.8000000000002,1692.3000000000002,776.1999999999998,1272.3000000000002,526.1999999999998,-1469.6999999999998
2020-01-01 19:09:13,-1110.1999999999998,-1708.0,-1198.1999999999998,-327.0,2241.8,227.0,122.80000000000018,-463.0,1214.8000000000002,39.0,-326.1999999999998,196.0,-1641.1999999999998,194.0,-838.1999999999998,1788.0,1094.8000000000002,1400.0,439.8000000000002,-1346.0
2020-01-01 19:09:14,-1077.3000000000002,-1738.6999999999998,-1333.3000000000002,-432.6999999999998,2525.7,224.30000000000018,-81.30000000000018,-507.6999999999998,1428.6999999999998,145.30000000000018,-466.3000000000002,194.30000000000018,-1695.3000000000002,211.30000000000018,-892.3000000000002,1831.3000000000002,1313.6999999999998,1457.3000000000002,277.6999999999998,-1384.6999999999998
2020-01-01 19:09:15,-1095.6000000000004,-1747.5,-1413.6000000000004,-370.5,2708.3999999999996,242.5,-187.60000000000036,-580.5,1594.3999999999996,137.5,-526.6000000000004,180.5,-1677.6000000000004,275.5,-947.6000000000004,1846.5,1405.3999999999996,1481.5,140.39999999999964,-1465.5
2020-01-01 19:09:16,-1127.1000000000004,-1767.0,-1460.1000000000004,-211.0,2693.8999999999996,284.0,-194.10000000000036,-648.0,1666.8999999999996,73.0,-501.10000000000036,196.0,-1601.1000000000004,238.0,-965.1000000000004,1880.0,1397.8999999999996,1522.0,89.89999999999964,-1567.0
2020-01-01 19:09:17,-1160.6999999999998,-1788.6999999999998,-1475.6999999999998,-19.699999999999818,2569.3,367.3000000000002,-159.69999999999982,-709.6999999999998,1699.3000000000002,-29.699999999999818,-428.6999999999998,249.30000000000018,-1503.6999999999998,43.30000000000018,-949.6999999999998,1930.3000000000002,1316.3000000000002,1616.3000000000002,93.30000000000018,-1658.6999999999998
2020-01-01 19:09:18,-1202.6999999999998,-1756.6,-1435.6999999999998,-179.5999999999999,2437.3,452.4000000000001,-100.69999999999982,-760.5999999999999,1692.3000000000002,-129.5999999999999,-339.6999999999998,319.4000000000001,-1473.6999999999998,160.4000000000001,-943.6999999999998,1952.4,1222.3000000000002,1687.4,144.30000000000018,-1745.6
2020-01-01 19:09:19,-1246.0,-1700.0,-1393.0,-359.0,2309.0,555.0,-34.0,-813.0,1669.0,-208.0,-237.0,381.0,-1459.0,323.0,-948.0,1907.0,1125.0,1732.0,214.0,-1818.0
2020-01-01 19:09:20,-1256.8000000000002,-1695.5,-1348.8000000000002,-481.5,2198.2,647.5,15.199999999999818,-875.5,1602.1999999999998,-239.5,-128.80000000000018,399.5,-1461.8000000000002,486.5,-936.8000000000002,1860.5,1029.1999999999998,1775.5,288.1999999999998,-1877.5
2020-01-01 19:09:21,-1233.6000000000004,-1712.3000000000002,-1297.6000000000004,-567.3000000000002,2074.3999999999996,737.6999999999998,50.399999999999636,-929.3000000000002,1529.3999999999996,-234.30000000000018,-33.600000000000364,389.6999999999998,-1467.6000000000004,603.6999999999998,-924.6000000000004,1814.6999999999998,935.3999999999996,1828.6999999999998,367.39999999999964,-1931.3000000000002
2020-01-01 19:09:22,-1223.3999999999996,-1734.1999999999998,-1238.3999999999996,-618.1999999999998,1940.6000000000004,808.8000000000002,78.60000000000036,-970.1999999999998,1479.6000000000004,-220.19999999999982,37.600000000000364,385.8000000000002,-1431.3999999999996,627.8000000000002,-926.3999999999996,1782.8000000000002,852.6000000000004,1902.8000000000002,430.60000000000036,-1965.1999999999998
2020-01-01 19:09:23,-1213.1000000000004,-1763.9,-1195.1000000000004,-644.9000000000001,1812.8999999999996,853.0999999999999,106.89999999999964,-1008.9000000000001,1443.8999999999996,-193.9000000000001,81.89999999999964,380.0999999999999,-1396.1000000000004,624.0999999999999,-925.1000000000004,1749.1,800.8999999999996,1989.1,482.89999999999964,-1983.9
2020-01-01 19:09:24,-1191.6000000000004,-1795.4,-1188.6000000000004,-659.4000000000001,1715.3999999999996,874.5999999999999,148.39999999999964,-1042.4,1416.3999999999996,-145.4000000000001,84.39999999999964,378.5999999999999,-1356.6000000000004,608.5999999999999,-916.6000000000004,1725.6,760.3999999999996,2052.6,528.3999999999996,-1997.4
2020-01-01 19:09:25,-1145.6000000000004,-1820.9,-1190.6000000000004,-693.9000000000001,1392.3999999999996,-67.90000000000009,188.39999999999964,-1077.9,1633.3999999999996,879.0999999999999,62.399999999999636,381.0999999999999,-1325.6000000000004,607.0999999999999,-904.6000000000004,1718.1,748.3999999999996,2067.1,541.3999999999996,-1991.9
2020-01-01 19:09:26,-1070.3000000000002,-1832.5,-1192.3000000000002,-739.5,1378.6999999999998,-44.5,236.69999999999982,-1107.5,1557.6999999999998,891.5,53.69999999999982,381.5,-1299.3000000000002,597.5,-886.3000000000002,1716.5,716.6999999999998,2069.5,504.6999999999998,-1932.5
2020-01-01 19:09:27,-998.3000000000002,-1846.5,-1226.3000000000002,-747.5,1357.6999999999998,-52.5,257.6999999999998,-1104.5,1499.6999999999998,902.5,97.69999999999982,365.5,-1282.3000000000002,567.5,-854.3000000000002,1702.5,675.6999999999998,2079.5,472.6999999999998,-1866.5
